species_name,latitude,longitude,location_description,depth_range,,,,
Leptagonus frenatus,NA,NA,"Pacific coast of Hokkaido, Japan, Sea of Okhotsk, Kuril Islands to Norton Sound, Bering Sea, including Commander–Aleutian Islands Chain, and Stalemate and Bowers Banks to Observatory Inlet, northern British Columbia","18-1,124 m",,,,
Nautichthys oculofasciatus,54°56'N,160°24'W,"Shumagin Islands, western Gulf of Alaska to San Miguel Island, southern California",intertidal to 208 m,,,,
Nautichthys pribilovius,71°12'N; 71°45'N,163°05'W; 153°57'W,"Japan and Okhotsk Seas to Commander–Aleutian Chain, throughout Bering Sea to northern Chukchi Sea and western Beaufort Sea, north-western Alaska, to Steamer Bay, south-eastern Alaska",11 m or less to 422 m,,,,
Occella dodecaedron,66°16'N,161°21'W,"Seas of Japan and Okhotsk, and Kuril Islands to Kamchatka, and western Bering Sea at Gulf of Anadyr; south-eastern Chukchi Sea, and eastern Bering Sea at Norton Sound and Bristol Bay to western Gulf of Alaska",at least intertidal to 100 m,,,,
Odontopyxis trispinosa,NA,NA,"Prince William Sound, northern Gulf of Alaska to Laguna Guerrero Negro, central Baja California, including Isla de Cedros, central Baja California",5-373 m,,,,
Pallasina aix,NA,NA,"Southeast Alaska to just north of San Francisco, northern California",intertidal to 63 m,,,,
Pallasina barbata,NA,NA,"Sea of Okhotsk, Hokkaido Island, Japan, Kuril Islands, and Kamchatka to eastern Chukchi and eastern Bering Sea, Aleutian Islands, as far eastward as central Gulf of Alaska",intertidal to 128 m,,,,
Percis japonica,NA,NA,"Seas of Japan and Okhotsk to Commander and Aleutian Islands and Bering Sea to Gulf of Alaska to Juneau, Alaska",19-770 m,,,,
Podothecus accipenserinus,NA,NA,"Pacific coast of Hokkaido, Kuril Islands, south-eastern Kamchatka, Commander, and Aleutian Islands to northern Bering Sea, Alaska near Saint Lawrence Island to Point Reyes, northern California","intertidal to 570 m, perhaps to 710 m",,,,
Podothecus veternus,71°36'N,153°57'W,"Seas of Japan and Okhotsk, northern Kuril Islands, south-eastern Kamchatka to western and eastern Bering Sea, eastern Chukchi Sea to western Beaufort Sea; one unconfirmed record from the eastern Beaufort Sea","intertidal to 310 m, perhaps to 605 m",,,,
Sarritor leptorhynchus,NA,NA,"Seas of Japan and Okhotsk and Pacific coast of northern Japan to Commander–Aleutian Chain, to 61°N in western Bering Sea off Russia to Pribilof Islands and Bristol Bay in eastern Bering Sea off Alaska, to Prince William Sound, northern Gulf of Alaska","15-460 m, reported but not confirmed to 974 m",,,,
Stellerina xyosterna,NA,NA,"Icy Bay, northern Gulf of Alaska, and northern British Columbia near Alaska border to Bahía Magdalena, southern Baja California",2 m to at least 100 m,,,,
Xeneretmus latifrons,54°16'N; 30°13.3'N,133°17'W; 116°03.7'W,"Near Haida Gwaii, British Columbia to off Bahía San Quintin, northern Baja California","2 m or less to 1,291 m",,,,
Xeneretmus leiops,59°16'N,141°07'W,"Northern Gulf of Alaska to Santa Catalina Island, southern California",24-803 m,,,,
Xeneretmus ritteri,NA,NA,"Malibu, southern California to Isla de Cedros, central Baja California; Gulf of California",105-405 m,,,,
Xeneretmus triacanthus,54°18'N,132°38'W,"Near Haida Gwaii, British Columbia to Punta Baja, northern Baja California",15-624 m,,,,
Aptocyclus ventricosus,NA,NA,"Japan and Okhotsk Seas to Providence Bay, Gulf of Anadyr; northern Bering Sea, Alaska to North Pacific Ocean south of Aleutian Islands and Gulf of Alaska to Mathieson Channel, British Columbia","near surface to at least 940 m, also taken at 1,556 m and listed to 1,700 m",,,,
Eumicrotremus andriashevi,NA,NA,"Karaginskiy Bay, western Bering Sea to northeastern Chukchi Sea to eastern Bering Sea as far south as Saint Matthew Island",20-93 m,,,,
Eumicrotremus barbatus,NA,NA,"Sea of Okhotsk off Hokkaido, Japan; Pacific Ocean off Paramushir Island, Kuril Islands; Aleutian Islands from Near Islands to south of Unimak Island",At the shore to 210 m,,,,
Eumicrotremus derjugini,71°41'N,156°42'W,"Most Arctic seas, including East Siberian Sea, Beaufort Sea, and isolated population in northern Sea of Okhotsk",39-930 m,,,,
Eumicrotremus gyrinops,NA,NA,"Paramushir Island, Russia and at least west-central, central, and eastern Bering Sea and throughout Aleutian Islands to off Kodiak Island",59-329 m,,,,
Eumicrotremus lindbergi,NA,NA,"Sea of Japan off Korean Peninsula to Sea of Okhotsk and western Bering Sea; one possible record from the Aleutian Islands south of the Islands of Four Mountains, Alaska",37-143 m,,,,
Eumicrotremus orbis,66°N,166°W,"Pacific coast of Hokkaido, Japan to Commander and Aleutian Islands to Bering Sea as far north as Bering Strait to Puget Sound, Washington",2-447m,,,,
Eumicrotremus soldatovi,59°N,163°W,Northern Sea of Okhotsk and North Pacific Ocean off south-eastern Kamchatka,10-350m,,,,
Eumicrotremus spinosus,71°15'N,150°06'W,"Near Alaska in eastern Beaufort Sea off Canada at Mackenzie River Delta to Greenland and western Atlantic to Cape Cod; eastern North Atlantic, Kara and Barents seas, and Novaya Zemlya",5-930m,,,,
Acantholiparis caecus,49°19'N,126°23'W,"Central Vancouver Island, Oregon, and Cortes Basin, southern California",1175-2122m,,,,
Acantholiparis opercularis,56°42'N,173°18'W,"South-eastern Kamchatka, North Pacific Ocean, northeastern Kamchatka, Commander Islands, eastern Bering Sea, Moresby Island, Vancouver Island, Oregon, Farallon Islands, central California",300-3609m,,,,
Allocareproctus jordani,NA,NA,"Sagami Bay, Japan, along Kuril Islands, eastern Sea of Okhotsk, off the southern tip of Kamchatka, Aleutian Islands eastwards to Amukta Island and eastern Bering Sea",75-750m,,,,
Allocareproctus kallaion,NA,NA,"Aleutian Islands, Seguam Pass to Yunaska Island",278-463m,,,,
Allocareproctus tanix,NA,NA,"Aleutian Islands, from Kiska to Umnak islands",104-620m,,,,
Allocareproctus unangas,NA,NA,"Aleutian Islands, Buldir Pass to Islands of Four Mountains",176-465m,,,,
Allocareproctus ungak,NA,NA,"Aleutian Islands, Seguam Pass to the Islands of Four Mountains",318-461m,,,,
Bathyphasma ovigerum,37°38'N,123°23'W,"Haida Gwaii, British Columbia to central California",at least 2039-2904m,,,,
Careproctus abbreviatus,51°34'N,178°20'W,"Northern Sea of Okhotsk, Rat Island, western Aleutian Islands, and eastern North Pacific south of Alaska Peninsula",325-1143m,,,,
Careproctus ambustus,NA,NA,"Seas of Japan and Okhotsk to Bering Sea, Aleutian Islands, Gulf of Alaska, and British Columbia",58-1172m,,,,
Careproctus bowersianus,NA,NA,South-eastern and south-central Bering Sea and Aleutian Islands,629-1032m,,,,
Careproctus canus,52°33'N,169°42'W,Western and central Aleutian Islands from Near Strait to eastern Aleutian Islands,48-434m,,,,
Careproctus canusocius,70°24.9'N; 70°33.8'N,140°21.4'W; 140°27'W,Beaufort Sea in region of U.S.-Canada Border,488-599m,,,,
Careproctus colletti,39°32.2'N,124°13'W,Seas of Japan and Okhotsk to Bering Sea and Gulf of Alaska to northern California,64-1556m,,,,
Careproctus comus,56°55'N,173°22'W,"Zhemchug Canyon and Aleutian Islands, from Stalemate Bank to just east of Unalaska Island",146-400m,,,,
Careproctus cypselurus,35°26.5'N,121°44.2'W,"Pacific Ocean off Honshu, Japan to Kuril Islands and Sea of Okhotsk to Bering Sea, Gulf of Alaska to northern California",35-1993m,,,,
Careproctus ectenes,57°49'N; 53°06'N,173°52'W; 171°42'W,"Bering Sea and Near Islands, western Aleutian Islands to Unalaska Island, Aleutian Islands",380-640m,,,,
Careproctus faunus,59°23'N,177°40'W,"Pervenets Canyon, Bering Sea and Petrel Bank, to just east of Unalaska Island",120-422m,,,,
Careproctus filamentosus,NA,NA,"Oregon and Monterey Bay, central California",2265-3033m,,,,
Careproctus furcellus,60°49'N,178°42'W,Pacific Ocean off Hokkaido and Sea of Okhotsk to Bering Sea and Pacific Ocean off Aleutian Islands to northern Gulf of Alaska,98-1270m,,,,
Careproctus gilberti,35°10'N,NA,Western Aleutian Islands and eastern Bering Sea to central California north of Point Conception,55-2040m,,,,
Careproctus kamikawai,32°28'N,118°35'W,"Monterey Bay, central California and southern California",468-2652m,,,,
Careproctus lacrima,NA,NA,Aleutian Islands from Kiska to Amukta Islands,90-207m,,,,
Careproctus lerikimae,NA,NA,Beaufort Sea,175-500m,,,,
Careproctus longifilis,NA,NA,Oregon to Panama,1900-3675m,,,,
Careproctus lycopersicus,NA,NA,"Southern Sea of Okhotsk, Bering Sea and eastern Aleutian Islands",304-1108m,,,,
Careproctus maslenikovae,NA,NA,Aleutian Islands from Tanaga to Umnak islands,234-322m,,,,
Careproctus melanurus,32°48'N,NA,"Southeastern Alaska to at least Isla Guadalupe, central Baja California",50-2286m,,,,
Careproctus microstomus,NA,NA,Oregon to central California,2721-4100m,,,,
Careproctus nelsoni,NA,NA,Aleutian Islands from north of the Islands of Four Mountains to south of Amukta Island,220-329m,,,,
Careproctus opisthotremus,NA,NA,Eastern North Pacific Ocean south of Agattu Island and Bering Sea north of Umnak Island,1913-2562m,,,,
Careproctus oregonensis,NA,NA,British Columbia to Oregon,1900-2926m,,,,
Careproctus ostentum,NA,NA,Sea of Okhotsk; Bering Sea and Aleutian Islands to Gulf of Alaska east of Kodiak Island,73-1030m,,,,
Careproctus phasma,NA,NA,Continental Shelf of eastern Bering Sea and northern Gulf of Alaska,57-184m,,,,
Careproctus reinhardti,71°15'N,150°06'W,"Baffin Bay and Davis Strait, off eastern Greenland, Kara and Laptev Seas, Chukchi Borderland and upper continental slope of Chukchi and Beaufort Seas and southward to Bering Sea Slope",100-1840m,,,,
Careproctus scottae,NA,NA,"Central and eastern Bering Sea, Aleutian Islands, and southeast Alaska",at least 71-390m,,,,
Careproctus simus,NA,NA,"Sea of Okhotsk off Hokkaido and south-eastern Sakhalin, northern Kuril Islands, and western Bering Sea off Cape Navarin; central and eastern Bering Sea and Aleutian Islands",213-819m,,,,
Careproctus spectrum,NA,NA,North-western Gulf of Alaska,201m,,,,
Careproctus spiraki,NA,NA,Aleutian Islands from Kiska to Unalaska islands,193-447m,,,,
Careproctus staufferi,NA,NA,Central Aleutian Islands from the Islands of Four Mountains and Samalga Pass to Seguam Pass,205-366m,,,,
Careproctus zachirus,NA,NA,"South-western Sea of Okhotsk, northern Kuril Islands, Pacific Ocean off south-eastern Kamchatka, eastern Bering Sea and Amchitka Pass, central Aleutian Islands",130-850m,,,,
Crystallichthys cameliae,NA,NA,"Bering Sea north of Near Islands, Aleutian Islands",about 300m,,,,
Crystallichthys cyclospilus,53°40'N; 60°30'N,167°32'W; 178°51'W,"Sea of Okhotsk, eastern Aleutian Islands and northern Bering Sea",54-577m,,,,
Crystallichthys mirabilis,NA,NA,Western North Pacific Ocean off northern Kuril Islands and south-eastern Kamchatka,53-830m,,,,
Elassodiscus caudatus,33°55'N,NA,"Southeast Alaska, off Juneau to southern California",241-1077m,,,,
Elassodiscus nyctereutes,NA,NA,"Sea of Okhotsk, Kuril Islands, Kamchatka, Bering Sea, and Aleutian Islands",362-1200m,,,,
Elassodiscus tremebundus,NA,NA,"Sea of Okhotsk, Pacific Ocean off Hokkaido, Japan and Kuril Islands to western Bering Sea off Cape Navarin; eastern Bering Sea over continental slope and off Aleutian Islands",130-1286m,,,,
Genioliparis ferox,NA,NA,Oregon to central California,2884-4100m,,,,
Gyrinichthys minytremus,52°02'N,176°22'W,Bering Sea north of Unalaska Island and near Aleutian Islands,344-640m,,,,
Liparis adiastolus,NA,NA,Washington to northern California,intertidal-10m,,,,
Liparis bathyarcticus,NA,NA,Circumpolar; Beaufort and Chukchi Seas to northern Bering Sea,about 8-647m,,,,
Liparis bristolensis,NA,NA,"Chukchi Sea, Bristol Bay to Gulf of Alaska",10-144m,,,,
Liparis callyodon,NA,NA,"Kuril Islands, south-eastern Kamchatka, and Commander Islands to Gulf of Anadyr, Bering Sea; Saint Lawrence Island and Norton Sound, eastern Bering Sea to Aleutian Islands to Oregon",intertidal-49m,,,,
Liparis catharus,57°46'N,131°38'W,"Bradfield Canal, south-eastern Alaska",137m,,,,
Liparis cyclopus,NA,NA,"Petropavlovsk, south-eastern Kamchatka to Commander Islands; south-eastern Bering Sea and Aleutian Islands to Oregon",intertidal-183m,,,,
Liparis dennyi,NA,NA,"Bering Sea and eastern Aleutian Islands to Puget Sound, Washington",intertidal-225m,,,,
Liparis fabricii,71°55'N; 64°30'N,175°18'W; 170°26'W,"Circumpolar in Arctic; Beaufort and Chukchi Seas, Alaska southward to north Saint Lawrence Island",6-at least 520m,,,,
Liparis florae,NA,NA,"Kodiak Island, western Gulf of Alaska to King Harbor, southern California",intertidal-15m,,,,
Liparis fucensis,NA,NA,"South-eastern Bering Sea and Unimak Pass, eastern Aleutian Islands to near San Simeon, central California",intertidal-388m,,,,
Liparis gibbus,NA,NA,"Beaufort Sea and Chukchi Sea to north-western Bering Sea, eastern and western Bering Sea, Commander and Aleutian Islands, and Gulf of Alaska to northern British Columbia",9-364m,,,,
Liparis greeni,NA,NA,Commander Islands; Pribilof Islands and Aleutian Islands to Washington,intertidal-21m,,,,
Liparis marmoratus,NA,NA,"Northern Sea of Okhotsk near northern tip of Sakhalin Island; near Saint Lawrence Island, Bering Sea, Alaska",96-165m,,,,
Liparis megacephalus,NA,NA,"Sea of Japan off South Korea; eastern Bering Sea and off Amchitka Island, Aleutian Islands",58-69m,,,,
Liparis micraspidophorus,NA,NA,"Commander Islands; Aleutian Islands to Cold Bay, Alaska Peninsula",intertidal and shallow subtidal,,,,
Liparis mucosus,28°52'N,114°30'W,"Samsing Cove, south-eastern Alaska to Bahía Playa Maria, central Baja California",intertidal-18m,,,,
Liparis ochotensis,63°20'N,173°20'W,"Seas of Japan and Okhotsk, and Pacific Ocean off Hokkaido and Kuril Islands to south-eastern Kamchatka; Bering Sea to northwest of Saint Lawrence Island",0-840m,,,,
Liparis pulchellus,NA,NA,"South-eastern Bering Sea and Aleutian Islands to Monterey Bay, central California",intertidal-191m,,,,
Liparis rutteri,NA,NA,"Attu Island, Aleutian Islands to Gulf of Alaska coasts nearly to the British Columbia border, to the Strait of Juan de Fuca",intertidal-about 73m,,,,
Liparis tunicatus,82°29'N,62°15'W,"Circumpolar, to as far north as Ellesmere Island; Beaufort and Chukchi Seas to northern Bering Sea at Saint Matthew Island, Alaska and Gulf of Anadyr, Russia and Sea of Okhotsk",intertidal-415m,,,,
Lipariscus nanus,49°19'N,126°23'W,"Southern Sea of Okhotsk off Hokkaido, vicinity of Commander Islands, and western Bering Sea; along Aleutian Islands from Unimak Pass to Rat Islands, eastern Bering Sea to Gulf of Alaska to Monterey Bay, central California",58-910m,,,,
Lopholiparis flerxi,51°21'N,178°56'E,"Western Aleutian Islands as far west as near Buldir Island and off Ulak Island, Aleutian Islands, Alaska",121-285m,,,,
Nectoliparis pelagicus,32°32'N,117°24'W,"Hokkaido, Japan and Sea of Okhotsk to Bering Sea to San Diego, southern California",2-3383m,,,,
Osteodiscus cascadiae,NA,NA,"British Columbia to Monterey Bay, central California",1348-3500m,,,,
Paraliparis adustus,53°24'N,176°40'W,"Bering Sea, north of Adak Island",640m,,,,
Paraliparis albeolus,53°40'N; 60°30'N,167°32'W; 178°51'W,"Sea of Okhotsk, eastern Aleutian Islands and northern Bering Sea",260-375m,,,,
Paraliparis albescens,NA,NA,"Monterey Bay, central California to Point Conception, California",about 192-500m,,,,
Paraliparis bathybius,NA,NA,Circumpolar in Arctic basins; Canada Basin north of Alaska,545-2824m,,,,
Paraliparis bullacephalus,NA,NA,"Shelikof Strait, Alaska",233-322m,,,,
Paraliparis cephalus,32°40'N,117°35'W,"Vicinity of Commander Islands; northern Bering Sea and western Aleutian Islands near Buldir Island and southern Bering Sea off Unalaska Island, and Shelikof Strait, western Gulf of Alaska to northern Baja California",242-1799m,,,,
Paraliparis dactylosus,34°33.3'N,121°13.8'W,"Commander Islands and eastern Bering Sea to off Point Arguello, central California",90-1062m,,,,
Paraliparis deani,NA,NA,"Shelikof Strait, western Gulf of Alaska to Monterey Bay, central California",18-1008m,,,,
Paraliparis grandis,58°31'N,176°49'W,"Sea of Okhotsk, Kuril Islands, south-eastern Kamchatka, western Bering Sea, eastern Bering Sea",105-1995m,,,,
Paraliparis holomelas,NA,NA,"Sea of Okhotsk, Pacific Ocean off northern Kuril Islands and south-eastern Kamchatka, south-eastern Bering Sea to western and central Gulf of Alaska",55-2972m,,,,
Paraliparis latifrons,NA,NA,British Columbia to Panama,2030-3279m,,,,
Paraliparis megalopus,34°43'N,123°06'W,British Columbia to central California,"2,825–4,100 m",,,,
Paraliparis melanobranchus,NA,NA,Known from two records: one from Sea of Okhotsk and one from off British Columbia. Two unverified reports from Oregon,"805–1,554 m",,,,
Paraliparis mento,34°03.3’N,121°01.5’W,"Washington to off Point Conception, California","641–1,000 m",,,,
Paraliparis nassarum,NA,NA,Southern California to northern Baja California,"900–1,280 m",,,,
Paraliparis paucidens,59°21’N,178°27’W,"Bering Sea, Alaska and northern British Columbia to Oregon","950–2,275 m",,,,
Paraliparis pectoralis,34°13.2’N,121°02’W,Southern Sea of Okhotsk off Hokkaido to Bering Sea to southern California,"681–1,636 m",,,,
Paraliparis penicillus,NA,NA,Eastern Bering Sea,722–1072 m,,,,
Paraliparis rosaceus,9°48’N,85°48’W,"Sea of Okhotsk off Hokkaido, Japan; close to Alaska off Dixon Entrance, northern British Columbia to Isla Guadalupe, central Baja California; Gulf of California; Costa Rica","878–3,358 m",,,,
Paraliparis ulochir,60°17'N,179°11'W,Bering Sea to Gulf of California,"215-1,838 m",,,,
Prognatholiparis ptychomandibularis,52°17'N,168°45'W,"Seguam Pass, central Aleutian Islands, Alaska",448-455 m,,,,
Psednos anoderkes,29°48'N,115°48'W,"Northeast of Isla Guadalupe, central Baja California","0-2,036 m",,,,
Psednos cathetostomus,NA,NA,"Patton Escarpment, southern California and San Clemente Basin, northern Baja California",309-338 m,,,,
Psednos griseus,29°48'N,115°48'W,"Northwest of Isla Guadalupe, central Baja California","0-4,000 m",,,,
Psednos mexicanus,29°48'N,115°48'W,"Near Isla Guadalupe, central Baja California","0-3,384 m",,,,
Psednos pallidus,29°48'N,115°48'W,West coast of central Baja California northeast of Isla Guadalupe,"0-2,000 m",,,,
Rhinoliparis attenuatus,32°48'N,NA,"Northern Kuril Islands, southeastern Kamchatka, eastern Bering Sea, Gulf of Alaska, northern British Columbia, southern California","350-2,189 m",,,,
Rhinoliparis barbulifer,"32°38'8""N",NA,"Sea of Okhotsk, Pacific Ocean off northern Honshu and Hokkaido, Commander Islands, Umnak Pass and vicinity of Unalaska Island to southern California","28-2,189 m",,,,
Rhodichthys regina,NA,NA,Canada Basin north of Alaska,"400-2,365 m",,,,
Temnocora candida,56°17'N,168°45'W,"Western North Pacific Ocean off northern Kuril Islands and southeastern Kamchatka, southeastern Bering Sea, Aleutian Islands to northwestern Gulf of Alaska",64-400 m,,,,
Unidentified Liparidae,35°56'N,121°58'W,Central California,"2,150-3,977 m",,,,
Unidentified Liparidae,NA,NA,Central and southern California,NA,,,,
Centropomus medius,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to northern Peru",to 25 m,,,,
Centropomus nigrescens,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to Paita, Peru",to 25 m,,,,
Centropomus viridis,26°45'N,114°15'W,"Southern Baja California to Tumbes, Peru",to 25 m,,,,
Bathysphyraenops simplex,35°56'N,121°58'W,"Western Pacific Ocean, central California to Chile",78-500 m,,,,
Howella brodiei,44°04'N,124°57'W,Oregon to Chile,"30-2,750 m",,,,
Howella sherborni,52°17'N,168°45'W,"North Pacific Ocean south of Krenitzin Islands, Aleutian Islands to Chile","surface-2,700 m",,,,
Stereolepis gigas,34°21'N,119°37'W,"Northern Japan, Sea of Japan, Humboldt Bay, northern California to Oaxaca, southern Mexico",5-55 m,,,,
Alphestes immaculatus,26°14'N,112°27'W,"Islas San Benito and Natividad, central Baja California to Pucusana, Peru",less than 2-50 m,,,,
Alphestes multiguttatus,26°14'N,112°27'W,"Near Punta Pequena, southern Baja California to Caleta La Cruz, Peru",intertidal-30 m,,,,
Cephalopholis colonus,32°42'N,117°15'W,"San Diego, southern California to Islas Lobos de Afuera, Peru",surface-120 m,,,,
Cephalopholis panamensis,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California and Gulf of California to northern Peru",surface-76 m,,,,
Dermatolepis dermatolepis,33°54'N,118°25'W,"El Segundo, southern California to northern Peru",surface-90 m,,,,
Epinephelus analogus,33°45'N,118°17'W,"San Pedro, southern California to Pucusana, Peru",less than 1-107 m,,,,
Epinephelus clippertonensis,23°24.6'N,110°13.8'W,"Todos Santos and Rocas Alijos, southern Baja California, barely into Gulf of California, Clipperton Island, Islas Revillagigedo",1-100 m,,,,
Epinephelus labriformis,32°46'N,117°14'W,"Mission Bay, southern California to Chile",intertidal-50 m,,,,
Epinephelus quinquefasciatus,24°22'N,111°42'W,"Bahía Almejas, southern Baja California and Gulf of California to Máncora, Peru",intertidal-100 m,,,,
Hyporthodus acanthistius,34°28'N,119°52'W,"Off El Capitan, southern California to Isla Lobos de Tierra, Peru",12-409 m,,,,
Hyporthodus cifuentesi,26°58'N,113°58'W,"Bahía San Hipólito, southern Baja California to Ecuador",2-300 m,,,,
Hyporthodus niphobles,36°22'N,121°54'W,"Near Bixby Bridge, central California to Islas Lobos de Afuera, Peru",1-450 m,,,,
Liopropoma fasciatum,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California to Puerto López, Ecuador",24-250 m,,,,
Liopropoma longilepis,23°24.6'N,109°20'W,"Todos Santos, southern Baja California, Gulf of California to Panama",90-450 m,,,,
Mycteroperca jordani,32°51'N,117°16'W,"La Jolla, southern California to Mazatlán, Mexico",2-50 m,,,,
Mycteroperca prionura,NA,NA,"Alijos Rocks, southern Baja California, Gulf of California to Jalisco, Mexico",10-90 m,,,,
Mycteroperca rosacea,28°40'N,114°16'W,"Islas Coronados to Bahía Banderas, Jalisco, Mexico",surface-100 m,,,,
Mycteroperca xenarcha,37°47'N,122°28'W,"San Francisco, northern California to Callao, Peru",surface-70 m,,,,
Rypticus bicolor,24°30'N,112°15'W,"Bahía Santa Maria, southern Baja California to northern Peru",surface-70 m,,,,
Rypticus nigripinnis,24°30'N,112°15'W,"Bahía Santa Maria, southern Baja California to Puerto Pizarro, Peru",intertidal-70 m,,,,
Baldwinella eos,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California to Gulf of California and Panama",9-325 m,,,,
Diplectrum eumelum,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to northern Peru",about 10-104 m,,,,
Diplectrum euryplectrum,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to northern Peru",intertidal-150 m,,,,
Diplectrum labarum,27°42'N,114°48'W,"Bahía de Sebastian Vizcaino, central Baja California to northern Peru",14-251 m,,,,
Diplectrum macropoma,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to Isla Lobos de Tierra, Peru",1-251 m,,,,
Diplectrum maximum,33°36'N,117°55'W,"Newport Beach, southern California to northern Peru",1-130 m,,,,
Diplectrum pacificum,24°30'N,112°15'W,"Bahía San Juanico, southern Baja California to Punta Malpolo, Peru",surface-90 m,,,,
Diplectrum rostrum,24°30'N,112°15'W,"Laguna de San Ignacio, southern Baja California to northern Peru",10-88 m,,,,
Diplectrum sciurus,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California and Gulf of California",15-155 m,,,,
Hemanthias peruanus,27°0'N,114°0'W,"Hippolito Bank, southern Baja California to Chile",10-251 m,,,,
Hemanthias signifer,33°56'N,118°27'W,"Playa del Rey, southern California to Talara, Peru",23-400 m,,,,
Paralabrax auroguttatus,34°21'N,119°37'W,"Santa Barbara, southern California, Islas Guadalupe and near Punta Rosalia, central Baja California to Gulf of California",2-217 m,,,,
Paralabrax clathratus,23°24.6'N,110°13.8'W,"Columbia River, Washington to Todos Santos, southern Baja California",surface-61 m,,,,
Paralabrax maculatofasciatus,36°36'N,121°54'W,"Monterey, central California to Acapulco, Mexico",surface-90 m,,,,
Paralabrax nebulifer,36°36'N,121°54'W,"Santa Cruz, central California to Todos Santos, southern Baja California",intertidal-183 m,,,,
Pronotogrammus multifasciatus,34°0'N,119°0'W,"Off east end of Anacapa Island, southern California, south of Point Mugu, southern California to Talara, Peru",surface-300 m,,,,
Pseudogramma thaumasia,23°24.6'N,110°13.8'W,"Cabo San Lucas, southern Baja California and Gulf of California to northern Peru",1-40 m,,,,
Serranus aequidens,33°50'N,118°24'W,"White Point, southern California to western Gulf of California, central Mexico to western Panama",73-486 m,,,,
Serranus huascarii,24°30'N,112°48'W,"Southern Baja California, Gulf of California to Chile",18-200 m,,,,
Serranus psittacinus,28°40'N,115°36'W,"Isla de Cedros, central Baja California to Islas Lobos de Afuera, Peru",intertidal-67 m,,,,
Opistognathus fossoris,NA,NA,"Tip of Baja California, Gulf of California, Isla Clarion",12-32 m,,,,
Opistognathus punctatus,24°30'N,112°15'W,"Bahía San Ignacio, southern Baja California to Colombia",1-24 m,,,,
Opistognathus rhomaleus,24°40'N,112°11'W,"Bahía Ballenas, southern Baja California to west Panama",3-70 m,,,,
Opistognathus rosenblatti,27°34.5'N,115°36'W,"Off Bahía Tortugas, central Baja California, Gulf of California, Islas Tres Marias",2-25 m,,,,
Opistognathus scops,NA,NA,"Near tip of Baja California, Gulf of California to Colombia",1-20 m,,,,
Cookeolus japonicus,27°15'N,118°16'W,"Rocas Alijos, southern Baja California to Huacho, Peru",20-400 m,,,,
Heteropriacanthus carolinus,33°27'N,118°29'W,"Santa Catalina Island, southern California, Isla Guadalupe, central Baja California to Panama",intertidal-300 m,,,,
Priacanthus alalaua,28°40'N,115°36'W,"Isla Guadalupe, Rocas Alijos, southern Baja California, Islas Revillagigedo, Hawaii",9-296 m,,,,
Pristigenys serrula,34°20'N,119°30'W,"Newport, central Oregon to Chile","less than 3-1,226 m",,,,
Apogon atricaudus,33°27'N,118°29'W,"Anacapa and San Clemente Islands, southern California, Isla Guadalupe, central Baja California to central Mexico",1-50 m,,,,
Apogon pacificus,29°40'N,115°47'W,"San Clemente Island, southern California, mainland off Arrecife Sacramento, central Baja California to Pucusana, Peru",1-96 m,,,,
Apogon retrosella,32°51'N,117°16'W,"La Jolla, southern California, Islas San Benito, Isla de Cedros, and Isla Natividad, central Baja California, Rocas Chester, central Baja California to Colombia",intertidal-61 m,,,,
Caulolatilus affinis,34°20.7'N,119°30'W,"Off Mussel Shoals, southern California, Anacapa Island, southern California, Isla Guadalupe, southern tip of Baja California to Isla Lobos de Tierra, Peru",30-230 m,,,,
Caulolatilus princeps,32°51'N,117°16'W,"Vancouver Island, British Columbia to Chile",3-189 m,,,,
Nematistius pectoralis,32°42'N,117°15'W,"San Clemente, southern California to Sur de Taltal, northern Chile",surface-62 m,,,,
Alectis ciliaris,24°40'N,112°11'W,"Bahía Santa Maria, southern Baja California to Chile",surface-100 m,,,,
Carangoides orthogrammus,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California, Cabo San Lucas, southern Baja California to Ecuador",3-190 m,,,,
Carangoides otrynter,24°30'N,112°15'W,"Bahía Magdalena, southern Baja California to northern Peru",surface-100 m,,,,
Carangoides vinctus,32°42'N,117°15'W,"San Diego Bay, southern California to Tumbes, Peru",4-50 m,,,,
Caranx caballus,36°36'N,121°54'W,"Monterey Bay, central California to Chile",surface-100 m,,,,
Caranx caninus,33°39'N,118°0'W,"Huntington Beach, southern California to Iquique, northern Chile",surface-350 m,,,,
Caranx lugubris,27°15'N,118°16'W,Southern Baja California to Chile,surface-355 m,,,,
Caranx melampygus,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California, Cabo San Lucas, southern Baja California to Isla Gorgona, Colombia",surface-230 m,,,,
Caranx sexfasciatus,32°42'N,117°15'W,"San Diego Bay, southern California to northern Peru","1-1,345 m",,,,
